Gene stable ID,WikiGene name
ENSMMUG00000012605,SLCO2A1
ENSMMUG00000000697,TAGLN3
ENSMMUG00000008070,YEATS2
ENSMMUG00000008070,KLHL24
ENSMMUG00000023372,RCSD1
ENSMMUG00000015060,ZBTB11
ENSMMUG00000010407,LCA5L
ENSMMUG00000003169,CLSTN2
ENSMMUG00000021249,TMIE
ENSMMUG00000017312,ZRANB2
ENSMMUG00000016900,PTGFRN
ENSMMUG00000046638,KBTBD12
ENSMMUG00000013443,BOC
ENSMMUG00000013197,CCN1
ENSMMUG00000017309,PTGER3
ENSMMUG00000011270,RYK
ENSMMUG00000021253,PRSS45P
ENSMMUG00000014573,DDAH1
ENSMMUG00000021392,TRIM42
ENSMMUG00000002907,CTDSPL
ENSMMUG00000017301,TMEM54
ENSMMUG00000060387,REG4
ENSMMUG00000053807,GNG4
ENSMMUG00000019326,CTH
ENSMMUG00000040869,SPATA16
ENSMMUG00000009184,MPZL1
ENSMMUG00000014433,TKT
ENSMMUG00000022288,MARK1
ENSMMUG00000023671,MED8
ENSMMUG00000023671,ELOVL1
ENSMMUG00000017780,TRMT10C
ENSMMUG00000015132,LGALS8
ENSMMUG00000000168,MGLL
ENSMMUG00000005820,AMPD2
ENSMMUG00000021254,PRSS45P
ENSMMUG00000023097,HMGCS2
ENSMMUG00000000694,PHLDB2
ENSMMUG00000008157,IGSF3
ENSMMUG00000009076,PRG4
ENSMMUG00000017302,HPCA
ENSMMUG00000005720,BCL10
ENSMMUG00000014739,PRSS42P
ENSMMUG00000013853,ANKRD13C
ENSMMUG00000008427,B3GALNT2
ENSMMUG00000005819,GNAT2
ENSMMUG00000010020,C1H1orf52
ENSMMUG00000012750,ANAPC13
ENSMMUG00000010380,ADCY10
ENSMMUG00000008156,CD58
ENSMMUG00000007611,MAGOH
ENSMMUG00000007611,CZIB
ENSMMUG00000000984,VILL
ENSMMUG00000004671,NLGN1
ENSMMUG00000000166,ABTB1
ENSMMUG00000013852,SRSF11
ENSMMUG00000003149,CDC20
